Title	URL	Status	Priority	Story Type	Estimate (Story Points)	Points Completed	Assignees	Contributors and % contribution	Quality Reviewer	Start date	End date (ready for QC by)	Deliverable / Sprint	Milestone
Create Revision tasks when available	https://github.com/COS420-F25/TeamC/issues/149	Done	High				Nicugh		Logan		Dec 2, 2025	Deliverable 5	Deliverable 5 -Work Complete-
As a junior developer, I would like to chat personally with those that I may need to speak to, so that i may get more in detail about a publicly addressed problem or to chat with others at my same company.	https://github.com/COS420-F25/TeamC/issues/73	Todo / Sprint Backlog	Medium	Requirements	1		Nicugh		Logan		Dec 6, 2025	Deliverable 5	Deliverable 5 -Work Complete-
As a new developer, I would like to interact on a public forum with people at the same company, so that I may build confidence for my own personal workspace.	https://github.com/COS420-F25/TeamC/issues/72	Todo / Sprint Backlog	Medium	Requirements	1		acarty324				Dec 5, 2025	Deliverable 5	Deliverable 5 -Work Complete-
As a senior developer, I would like to be able to answer other developers' questions so that I can help them learn best practices at our company.	https://github.com/COS420-F25/TeamC/issues/62	Todo / Sprint Backlog	Medium	Requirements	2		acarty324				Dec 5, 2025	Deliverable 5	Deliverable 5 -Work Complete-
As a developer, I would like to report any questions that are “improper”, so that it can be removed by a project manager.	https://github.com/COS420-F25/TeamC/issues/64	Todo / Sprint Backlog	Low	Requirements	2		Loganm6704		Nathan		Dec 5, 2025	Deliverable 5	Deliverable 5 -Work Complete-
Merge all branches together	https://github.com/COS420-F25/TeamC/issues/154	10-30% done					acarty324, Loganm6704, Nathan-R-Wheeler, Nicugh			Dec 4, 2025	Dec 4, 2025	Deliverable 5	Deliverable 5 -Submission-
Revise your part of the design diagram(Admin view of questions, flagging, timeout users(optional))	https://github.com/COS420-F25/TeamC/issues/168	Todo / Sprint Backlog					Loganm6704		Nathan		Dec 6, 2025	Deliverable 5	Deliverable 5 -Work Complete-
Revise your part of the design diagram(Ask questions, post responses, see responses && login/logout)	https://github.com/COS420-F25/TeamC/issues/169	Todo / Sprint Backlog					acarty324		Nicugh		Dec 6, 2025	Deliverable 5	Deliverable 5 -Work Complete-
Revise your part of the design diagram(Chat settings, vote Answer)	https://github.com/COS420-F25/TeamC/issues/167	Quality Checking					Nathan-R-Wheeler		Aidan		Dec 6, 2025	Deliverable 5	Deliverable 5 -Work Complete-
Revise your part of the design diagram(direct/ group messages)	https://github.com/COS420-F25/TeamC/issues/166	In Progress					Nicugh		Logan	Dec 4, 2025	Dec 6, 2025	Deliverable 5	Deliverable 5 -Work Complete-
Revise Detailed Tecnical Design	https://github.com/COS420-F25/TeamC/issues/165	10-30% done					acarty324, Loganm6704, Nathan-R-Wheeler, Nicugh				Dec 7, 2025	Deliverable 5	Deliverable 5 -Submission-
upload Deliverable 5 docs to github	https://github.com/COS420-F25/TeamC/issues/150	Todo / Sprint Backlog					Loganm6704		Nathan		Dec 7, 2025	Deliverable 5	Deliverable 5 -Submission-
Application Tables	https://github.com/COS420-F25/TeamC/issues/151	Todo / Sprint Backlog									Dec 7, 2025	Deliverable 5	Deliverable 5 -Submission-
@ any people whose tasks are not completed by QC deadline	https://github.com/COS420-F25/TeamC/issues/155	Todo / Sprint Backlog					Nicugh					Deliverable 5	
Merge video parts together to create the 4-10 video showing the progress we have made on our app.	https://github.com/COS420-F25/TeamC/issues/159	Todo / Sprint Backlog					acarty324, Loganm6704, Nathan-R-Wheeler, Nicugh		Nicugh		Dec 7, 2025	Deliverable 5	Deliverable 5 -Submission-
Create your part of the 4-10 minute video	https://github.com/COS420-F25/TeamC/issues/164	Todo / Sprint Backlog					Nicugh		Logan			Deliverable 5	Deliverable 5 -Work Complete-
Create your part of the 4-10 minute video	https://github.com/COS420-F25/TeamC/issues/163	Quality Checking					Nathan-R-Wheeler		Aidan			Deliverable 5	Deliverable 5 -Work Complete-
Create your part of the 4-10 minute video	https://github.com/COS420-F25/TeamC/issues/160	Todo / Sprint Backlog					acarty324		Nicugh		Dec 6, 2025	Deliverable 5	Deliverable 5 -Work Complete-
Create your part of the 4-10 minute video	https://github.com/COS420-F25/TeamC/issues/161	Todo / Sprint Backlog					Loganm6704		Nathan			Deliverable 5	Deliverable 5 -Work Complete-